Prioridad,Empresa/Entidad,Sector,Zona,Email,Telefono,Web/Fuente,Encaje con asesoramiento empresarial,Propuesta de acercamiento,Notas
Alta,ACERV - Asociación de Comerciantes y Empresarios de Rincón de la Victoria,Asociación empresarial,Rincón de la Victoria,info@acerv.eu,"952406338 / 952406633",https://acerv.eu/contactar/,"Puerta de entrada a comercios, hostelería y empresas locales","Proponer charla gratuita para asociados: contratos, reclamaciones, protección de datos, arrendamientos de local y prevención de conflictos","Prioridad máxima por alcance colectivo"
Alta,Área de Comercio - Ayuntamiento de Rincón de la Victoria,Institucional / comercio local,Rincón de la Victoria,comercio@rincondelavictoria.es,952402300,https://www.rincondelavictoria.es/areas/comercio,"Canal institucional para comercio local y actividades de dinamización","Presentar VEMALEX para posibles jornadas divulgativas dirigidas a comercio local","Validar email si aparece protegido como [email protected] en navegador"
Alta,D&A Inmobiliaria,Inmobiliaria,Rincón de la Victoria,info@dainmobiliaria.es,"952978287 / 630924942",https://dainmobiliaria.es/contacto,"Operaciones inmobiliarias, contratos, arras, alquileres, reclamaciones y arrendamientos de local","Ofrecer colaboración jurídica externa para revisión de contratos y consultas puntuales de clientes/empresa","Muy buen encaje con derecho inmobiliario y empresa"
Alta,Nacho Inmobiliaria,Inmobiliaria,Rincón de la Victoria,marta@nachoinmobiliaria.com,"952971000 / 656700304 / 678068796",https://www.todosbiz.es/nacho-inmobiliaria-678-06-87-96,"Compraventa, alquiler, locales comerciales, arras y documentación contractual","Proponer apoyo jurídico preventivo en contratos, arrendamientos y operaciones con incidencias","Email obtenido de directorio; validar antes de envío masivo"
Alta,Hotel Rincón Sol,Hotel / eventos,Rincón de la Victoria,reservas@hotelrinconsol.com,"952401100 / 952411100",https://www.todosbiz.es/hotel-rinc%C3%B3n-sol-952-40-11-00,"Contratos con proveedores, eventos, reclamaciones, condiciones de reserva, protección de datos y laboral","Ofrecer revisión legal preventiva para hotelería y eventos","Negocio de alto volumen y exposición jurídica"
Alta,Añoreta Golf / Añoreta Resort,Resort / golf / restauración,Torre de Benagalbón,reservas@anoretaresort.com,"952404000 / 952405000",https://acerv.eu/empresas/anoreta-golf-s-a/,"Contratos, eventos, proveedores, empleo, reclamaciones, protección de datos","Proponer revisión legal anual y soporte puntual para contratación y reclamaciones","También incluye restauración y reservas"
Alta,Cash Rincón,Supermercado / retail,Rincón de la Victoria,info@cashrincon.com,"951921402 / 951921412",https://cashrincon.com/contacto/,"Retail con proveedores, consumidores, empleados, promociones y protección de datos","Ofrecer auditoría legal básica para comercio: condiciones, reclamaciones, proveedores y documentación laboral","Buen contacto B2B local"
Alta,Tezia Centro Médico Dental y Estético,Clínica / estética,Rincón de la Victoria,info@tezia.es,951735383,https://tezia.es/,"Clínica con protección de datos sensible, consentimientos, contratos, reclamaciones y proveedores","Ofrecer revisión legal de documentación de pacientes, consentimiento y relaciones con proveedores","Alta sensibilidad RGPD"
Alta,Clínica Garrido,Podología / clínica,Rincón de la Victoria,clinicagarrido@gmail.com,662384859,https://www.clinicagarrido.com/contacto/,"Protección de datos sanitarios, consentimientos, reclamaciones, proveedores y arrendamiento de local","Proponer checklist legal para clínicas pequeñas: RGPD, consentimiento, reclamaciones y contratos","Email público directo"
Alta,Clínicas Rincón Dental - Rincón de la Victoria,Clínica dental,Benagalbón / Rincón,recepcion@rincon.dental,"900525284 / 951204674",https://www.clinicasrincondental.com/es/clinica/centros/clinica-dental-rincon-de-la-victoria,"Protección de datos sanitarios, financiación, consentimientos, reclamaciones, contratos","Ofrecer revisión preventiva de documentación comercial y sanitaria","Usar tono muy profesional"
Media,Óptica Rincón,Óptica / retail sanitario,Rincón de la Victoria,opticarinconcsc@gmail.com,"650177269 / 613091667",https://acerv.eu/empresas/optica-rincon/,"Retail sanitario, financiación, garantías, protección de datos y consumidores","Ofrecer asesoramiento preventivo para reclamaciones, garantías y documentación comercial","Negocio asociado a ACERV"
Media,Ópticas Evisión,Óptica / audición,Rincón de la Victoria,evisionopticas@gmail.com,652990971,https://www.opticasevision.com/contacto/,"Comercio sanitario, financiación, garantías, reclamaciones y datos de clientes","Proponer revisión de condiciones comerciales, garantías y documentación básica","Tiene varias sedes"
