Prioridad,Entidad,Tipo,Localidad/Zona,Email,Telefono,Web/Fuente,Encaje con VEMALEX,Propuesta de acercamiento,Notas
Alta,Asociación Familiar Malagueña AFAMA / COF Málaga,Orientación familiar,Málaga,cofmalaga@gmail.com,952600003 / 627964299,https://www.malaga.eu/gobierno-abierto/participacion/consulta-del-registro-de-asociaciones/detalle-de-asociaciones/index.html?cif=G29512779,Familias que demandan orientación y asesoramiento; entidad provincial,"Ofrecer colaboración para charla gratuita sobre divorcio, custodia y mediación familiar",Muy alineada con Derecho de Familia
Alta,Asociación Andaluza de Familias Monoparentales ANDAFAM,Familias monoparentales,Málaga / Andalucía,infoandafam@gmail.com,629615975,https://www.familiasandalucia.es/familias-monoparentales/,Familias monoparentales con necesidades de información jurídica y apoyo,"Proponer guía o sesión online sobre medidas, alimentos, conciliación y derechos de familias monoparentales",Contacto confirmado en Familias Andalucía
Alta,Asociación de Familias Acogedoras Mejor en Familia,Acogimiento familiar,Málaga / Fuengirola,asociacionmejorenfamilia@gmail.com,615557256 / 851000043,https://www.malaga.eu/gobierno-abierto/participacion/consulta-del-registro-de-asociaciones/detalle-de-asociaciones/index.html?cif=G93698660,Familias acogedoras y menores; necesidad de orientación legal familiar,Ofrecer recurso gratuito sobre derechos y documentación en acogimiento y familia,Registro municipal y ficha en Vélez-Málaga
Alta,Asociación de Desarrollo Integral Infantil y Familiar ADEFAMI,Infancia y familia,Málaga,sanchezguerreroalicia@gmail.com,951210242 / 692546963,https://www.malaga.eu/gobierno-abierto/participacion/consulta-del-registro-de-asociaciones/detalle-de-asociaciones/index.html?cif=G93315786,"Programas para madres, padres, atención temprana y familias monoparentales",Proponer charla conjunta sobre prevención de conflictos familiares y derivación jurídica responsable,Buen encaje para talleres
Alta,Asociación Mediando Centro Integral de Mediación y Asesoramiento,Mediación,Málaga,mediacion@mediando.me,620637477,https://www.malaga.eu/gobierno-abierto/participacion/consulta-del-registro-de-asociaciones/detalle-de-asociaciones/index.html?cif=G93207488,"Profesionales y usuarios de mediación familiar, social y comunitaria",Ofrecer colaboración para derivaciones jurídicas cuando la mediación precise asesoramiento legal,"Enfoque colaborativo, no competitivo"
Alta,Centro de Mediación ICAMálaga CMICAMALAGA,Mediación institucional,Málaga,info@cmicamalaga.es,951017916 / 951017900,https://www.cmicamalaga.es/solicita-una-mediacion/,Canal institucional de mediación; público general,Presentarse como despacho especializado en familia y mediación; solicitar información sobre colaboraciones permitidas,Tratar con tono institucional
Alta,Asociación de Padres Separados,Padres y madres separados,Estatal,asociacion@padresseparados.com,626144808,https://padresseparados.com/aviso-legal/,"Separación, custodia compartida y mediación familiar",Proponer colaboración para Málaga y Rincón: orientación local de Derecho de Familia,"No local, pero muy afín"
Alta,Fundación Márgenes y Vínculos,Infancia y familias vulnerables,Málaga,csmalaga@fmyv.org / fmyv@fmyv.org,952214268 / 952229784,https://es.cybo.com/ES-biz/fundaci%C3%B3n-m%C3%A1rgenes-y-v%C3%ADnculos,"Infancia, familias, mujer y personas vulnerables",Ofrecer una sesión informativa no comercial sobre cuestiones familiares básicas y rutas de derivación,Usar tono de colaboración social
Media,Asociación Arrabal-AID / PEF Arrabal,Acción social, infancia y familias,Málaga,arrabal@arrabalempleo.org / v.garcia@arrabalempleo.org,952300500 / 670290611,https://pefarrabal.com/contacto/,"Trabaja con familias vulnerables, infancia y programa +Infancia",Proponer recurso gratuito/checklist para familias usuarias y canal de orientación inicial,Alta sensibilidad social
Media,Málaga Acoge,Acción social y familias migrantes,Málaga,malaga@malagaacoge.org,,https://malaga.acoge.org/donde-estamos/malaga-capital/sede-administrativa-malaga/,"Intervención social, orientación jurídica, familias migrantes y monoparentales","Ofrecer apoyo puntual en materias de familia complementarias a extranjería, sin invadir su servicio jurídico",Requiere mensaje muy cuidadoso
Media,Asociación ALAS,Violencia sexual y apoyo a víctimas,Benalmádena / Málaga,info@asociacionalas.org,642507554,https://asociacionalas.org/contacto/,"Casos sensibles donde puede haber derivaciones familiares, medidas y protección",Ofrecer contacto profesional para asuntos familiares derivados de crisis o protección,No hacer correo comercial agresivo
Media,Asociación Cultural Torre Fuerte y Victoriosa,Asociación local comunitaria,Rincón de la Victoria,contacto@asociaciontorrefuerte.org,650357523,https://asociaciontorrefuerte.org/contacto/,Entidad local de Rincón con eje familiar y comunitario,"Proponer charla local gratuita: claves legales ante divorcio, custodia y mediación",Buena entrada territorial
Media,Centro Multidisciplinar JuegArte Rincón,Familias y actividades infantiles,Rincón de la Victoria,juegarterincon@gmail.com,951912253,https://littlefamilyhub.com/o/103/es,Comunidad de familias con niños en Rincón,Proponer colaboración divulgativa o guía para familias; no vender directamente,"No es asociación, pero buen canal local"
Media,ACCAM Familias Colaboradoras,Menores y familias colaboradoras,Andalucía Oriental,faco.oriental@asociacionaccam.org,607036493,https://asociacionaccam.org/familias-colaboradoras/,"Familias colaboradoras, menores y protección","Ofrecer recurso legal divulgativo sobre familia, menores y documentación",Ámbito Granada/Málaga/Jaén/Almería
Media,Asociación Española de Malformaciones Anorrectales y Enfermedad de Hirschsprung AEMAREH,Infancia y familias,Málaga,asociacion@aemareh.com,671415556,https://www.malaga.eu/gobierno-abierto/participacion/consulta-del-registro-de-asociaciones/detalle-de-asociaciones/index.html?cif=G87164513,Familias con menores y necesidades especiales,"Ofrecer recurso sobre derechos familiares, conciliación y organización de medidas cuando hay menores con necesidades especiales","Enfoque social, no captación directa"
